Information,Information
"Installed Extensions","Installed Extensions"
Extensions,Extensions
Name,Name
Description,Description
Version,Version
Support,Support
"If you need any help, guidance or found an issue within our extensions. Feel free to find us on <a href=""%1"" target=""_blank"">GitHub</a>","If you need any help, guidance or found an issue within our extensions. Feel free to find us on <a href=""%1"" target=""_blank"">GitHub</a>"
